"IdConglomerado","X_C3","Y_C3","NoIndividuo_C3","DiametroNormal_C3","AlturaTotal_C3","AreaBasal_C3","NombreComun_C3","Familia_APG_C3","Genero_APG_C3","Especie_APG_C3","Clave_ESP","N_Cientifico"
50060,-87.657833,20.789472,13,28.2,10.1,0.062458,"bob","Polygonaceae","Coccoloba","spicata","Cocspi","Coccoloba spicata"
50060,-87.657833,20.789472,23,9.7,5.3,0.00739,"ikiche","Erythroxylaceae","Erythroxylum","rotundifolium","Eryrot","Erythroxylum rotundifolium"
50060,-87.657833,20.789472,28,53.7,18.1,0.226485,"ramon","Moraceae","Brosimum","alicastrum","Broali","Brosimum alicastrum"
50060,-87.657833,20.789472,33,22.2,14.1,0.038708,"ramon","Moraceae","Brosimum","alicastrum","Broali","Brosimum alicastrum"
50060,-87.657833,20.789472,36,14.6,7.2,0.016742,"sakiap","Fabaceae","Gliricidia","sepium","Glisep","Gliricidia sepium"
50296,-87.470889,20.726139,30,11.2,7.5,0.009852,"SILIL","Ebenaceae","Diospyros","tetrasperma","Diotet","Diospyros tetrasperma"
50296,-87.470889,20.726139,51,17.8,8.1,0.024885,"KANISTE","Sapotaceae","Pouteria","campechiana","Poucam","Pouteria campechiana"
50296,-87.470889,20.726139,7,20.1,8.8,0.031731,"CHACA","Burseraceae","Bursera","simaruba","Bursim","Bursera simaruba"
50296,-87.470889,20.726139,15,13.9,8.1,0.015175,"YAXNIC","Lamiaceae","Vitex","gaumeri","Vitgau","Vitex gaumeri"
50296,-87.470889,20.726139,25,12.9,8,0.01307,"TADZI","Nyctaginaceae","Neea","psychotrioides","Neepsy","Neea psychotrioides"
50296,-87.470889,20.726139,34,8.5,12.3,0.005675,"NEGRITO","Simaroubaceae","Simarouba","amara","Simama","Simarouba amara"
50296,-87.470889,20.726139,27,9.3,7.6,0.006793,"NEGRITO","Simaroubaceae","Simarouba","amara","Simama","Simarouba amara"
50296,-87.470889,20.726139,12,11,6.8,0.009503,"KANASIN","Sapotaceae","Pouteria","campechiana","Poucam","Pouteria campechiana"
50296,-87.470889,20.726139,17,15.8,8.4,0.019607,"TADZI","Nyctaginaceae","Neea","psychotrioides","Neepsy","Neea psychotrioides"
50296,-87.470889,20.726139,6,15.3,9.4,0.018385,"ZAPOTILLO","Sapotaceae","Pouteria","reticulata","Pouret","Pouteria reticulata"
49841,-87.029222,20.7745,20,12.1,7.9,0.011499,"CHACA","Burseraceae","Bursera","simaruba","Bursim","Bursera simaruba"
49841,-87.029222,20.7745,40,8.1,3.1,0.005153,"XITE","Arecaceae","Thrinax","radiata","Thrrad","Thrinax radiata"
50070,-87.178167,20.743361,17,13.5,11.5,0.014314,"bojon","Cordiaceae","Cordia","alliodora","Corall","Cordia alliodora"
